Protein1	Interface1	Protein2	Interface2	Stoichiometry
EPN1	DPW	AP2A1	A2PLAT	1:01
EPN1	CLAT	CLTC	TD_CBOX	1:01
EPN1	ENTH_H0	EPN3	ENTH_H0	1:01
EPN1	NPF	EPS15L1	EH1	1:01
EPN1	DEX	AP2B1	B2PLAT	1:01
EPN1	DPW	AP2A2	A2PLAT	1:02
EPN1	NPF	EPS15	EH1	1:01
EPN3	NPF	EPS15	EH1	1:01
EPN3	ENTH_H0	EPN2	ENTH_H0	1:01
EPS15	EH2	SNAP91	NPF1_2	1:01
EPS15	DPF_7-15	AP2A2	A2PLAT	1:01
EPS15	DPF_7-15	AP2A1	A2PLAT	1:01
EPS15	CC	EPS15	CC	1:01
EPS15	DPF_1-6	FCHO1	MUH	1:01
EPS15	EH1	EPN2	NPF	1:01
EPS15	UIM2	CORO7	interface_to_eps15	1:01
EPS15	EH1	DAB2	NPF3_4_5	1:01
EPS15L1	EH1	NUMB	NPF	1:01
EPS15L1	EH2	STON2	NPF1	1:01
EPS15L1	EH1	EPN2	NPF	1:01
FCHO2	MUH	EPS15	DPF_7-15	1:01
FCHO2	FBAR_DIMER	FCHO2	FBAR_DIMER	1:01
FNBP1	SH3	WAS	PRD	1:01
FNBP1	FBAR_DIMER	TRIP10	FBAR_DIMER	1:01
FNBP1	SH3	DNM1	PRD_1_4-8_10-15	1:01
FNBP1	SH3	WASL	PRD_span	1:01
FNBP1	SH3	DNM2	PRD_1_4-8_10-15	1:01
FNBP1	FBAR_DIMER	FNBP1	FBAR_DIMER	1:01
FNBP1	SH3	DNM3	PRD_fullregion	1:01
FNBP1L	SH3	DNM2	PRD_1_4-8_10-15	1:01
FNBP1L	SH3	WASL	PRD_span	1:01
HIP1	CC	HIP1	CC	1:01
HIP1R	CC	HIP1R	CC	1:01
HSPA8	HSPATP	CLTA	interface_hspa8	1:01
HSPA8	HSPATP	CLTB	interface_hspa8	1:01
ITSN1	LINK_SH3AB	AP2B1	B2BS	1:01
ITSN1	SH3A	SYNJ2	PRD_span	1:01
ITSN1	EH1	DAB2	NPF3_4_5	1:01
ITSN1	SH3A	DNM1	PRD_1_4-8_10-15	1:01
ITSN1	EH1	PICALM	NPF1_2	1:01
ITSN1	SH3A	WAS	PRD	1:01
ITSN1	SH3A	SYNJ1	PRD_span	1:01
ITSN1	SH3A	DNM2	PRD_1_4-8_10-15	1:01
ITSN1	SH3A	INPPL1	PRD_span	1:01
ITSN1	CC1	ITSN1	CC1	1:01
ITSN1	CC1	EPS15	CC	1:01
ITSN2	CC1	EPS15	CC	1:01
ITSN1	SH3A	WASL	PRD_span	1:01
ITSN2	SH3A	WASL	PRD_span	1:01
ITSN2	SH3A	DNM2	PRD_1_4-8_10-15	1:01
ITSN2	CC1	ITSN2	CC1	1:01
ITSN2	SH3A	SYNJ2	PRD_span	1:01
ITSN2	CC1	ITSN1	CC1	1:01
ITSN2	SH3A	WAS	PRD	1:01
LDLRAP1	CLAT	CLTC	TD_CBOX	1:01
LDLRAP1	AP2BIND	AP2B1	B2PLAT	1:01
MYO1E	SH3	SYNJ1	PRD_span	1:01
MYO1E	SH3	DNM1	PRD_1_4-8_10-15	1:01
MYO1E	SH3	DNM2	PRD_1_4-8_10-15	1:01
MYO6	DT	AP2A1	A2PLAT	1:01
MYO6	WWY	MYO6	WWY	1:01
MYO6	WWY	DAB2	CTD	1:01
MYO6	DT	AP2A2	A2PLAT	1:01
NUMB	DPF	AP2A2	A2PLAT	1:01
NUMB	DPF	AP2A1	A2PLAT	1:01
NUMB	NPF	EPS15	EH1	1:01
OCRL	FxDxF	AP2A2	A2PLAT	1:01
OCRL	FxDxF	AP2A1	A2PLAT	1:01
OCRL	CLAT	CLTCL1	TD_CBOX	1:01
OCRL	CLAT	CLTC	TD_CBOX	1:01
PACSIN2	SH3	DNM2	PRD2	1:01
PACSIN2	SH3	WASL	PRD_span	1:01
PACSIN2	SH3	SYNJ1	PRD_span	1:01
PACSIN2	SH3	DNM1	PRD2	1:01
PACSIN2	SH3	WAS	PRD	1:01
PICALM	CLAT	CLTC	TD_CBOX	1:01
PICALM	NPF1_2	EPS15	EH1	01:00.5
PICALM	CLAT	CLTCL1	TD_CBOX	1:01
SGIP1	PRD	ITSN1	SH3A	1:01
SGIP1	PRD	AMPH	SH3	1:01
SGIP1	M2MUH	EPS15	DPF_1-6	1:01
SH3BP4	SH3	DNM1	PRD_1_4-8_10-15	1:01
SH3BP4	SH3	DNM2	PRD_1_4-8_10-15	1:01
SH3BP4	NPF	EPS15	EH1	1:01
SH3BP4	CC	SH3BP4	CC	1:01
SH3GL1	SH3	SYNJ1	PRD_span	1:01
SH3GL1	SH3	DNM2	PRD2	1:01
SH3GL1	SH3	DNM1	PRD2	1:01
SH3GL1	BAR_DIMER	SH3GL1	BAR_DIMER	1:01
SH3GL2	SH3	SYNJ1	PRD_span	1:01
SH3GL2	SH3	ITSN1	SH3B	1:01
SH3GL2	SH3	AMPH	PRD	1:01
SH3GL2	BAR_DIMER	SH3GL1	BAR_DIMER	1:01
SH3GL2	SH3	DNM1	PRD9	1:01
SH3GL2	SH3	DNM2	PRD9	1:01
SH3GL2	BAR_DIMER	SH3GL2	BAR_DIMER	1:01
SH3GL3	SH3	DNM2	PRD_1_4-8_10-15	1:01
SH3GL3	BAR_DIMER	SH3GL1	BAR_DIMER	1:01
SH3GL3	BAR_DIMER	SH3GL2	BAR_DIMER	1:01
SH3GL3	BAR_DIMER	SH3GL3	BAR_DIMER	1:01
SH3KBP1	PRD	SH3GL1	SH3	1:01
SH3KBP1	PRD	SH3GL2	SH3	1:01
SH3KBP1	PRD	SH3GL3	SH3	1:01
SH3KBP1	SH3A	DNM2	PRD2	1:01
SH3KBP1	SH3A	SYNJ2	PRD_1285to1290	1:01
SH3KBP1	SH3C	DAB2	PRD_709to725	1:01
SH3KBP1	SH3A	SYNJ1	PRD_1285to1290	1:01
SH3KBP1	coiled_coil	SH3KBP1	coiled_coil	1:01
SH3KBP1	SH3A	SH3KBP1	PRD	1:01
SH3KBP1	PRD	ITSN2	SH3C	1:01
SH3KBP1	SH3A	DNM1	PRD_1_4-8_10-15	1:01
SH3KBP1	SH3A	WASL	PRD_277to392	1:01
SH3KBP1	SH3A	INPPL1	PRD_944to949	1:01
SH3KBP1	PRD	ITSN1	SH3A	1:01
SH3KBP1	SH3A	HIP1R	PRD_1025to1030	1:01
SH3KBP1	SH3A	WAS	PRD_351to356	1:01
SNX9	LC	AP2A2	A2PLAT	1:01
SNX9	LC	AP2A1	A2PLAT	1:01
SNX9	SH3	WAS	PRD	1:01
SNX9	LC	AP2B1	B2PLAT	1:01
SNX9	LC	CLTC	TD_WBOX	1:01
SNX9	SH3	SYNJ1	PRD_span	1:01
SNX9	SH3	TNK2	PRD	1:01
SNX9	SH3	OCRL	PRD	1:01
SNX9	SH3	DNM1	PRD_1_4-8_10-15	1:01
SNX9	SH3	DNM2	PRD_1_4-8_10-15	1:01
SNX9	BAR_DIMER	SNX9	BAR_DIMER	1:01
SNX9	SH3	DNM3	PRD_fullregion	1:01
STON2	NPF2	ITSN1	EH1	1:01
STON2	NPF1	EPS15	EH1	1:01
TNK2	PRD	BIN1	SH3	1:01
TNK2	SH3	SYNJ1	PRD_span	1:01
TNK2	PRD	AMPH	SH3	1:01
TNK2	PKD	WAS	IYDFI	1:01
TNK2	PhosphoSites	TNK2	PKD	1:01
TRIP10	SH3_1	WAS	PRD	1:01
TRIP10	SH3_1	DNM2	PRD_1_4-8_10-15	1:01
TRIP10	SH3_2	WASL	PRD_span	1:01
TRIP10	FBAR_DIMER	TRIP10	FBAR_DIMER	1:01
TRIP10	FBAR_TOP	TRIP10	FBAR_BOTTOM	1:01
WAS	PRD	CTTN	SH3	1:01
CLTC	TD_WBOX	AMPH	Wbox	1:01
STON2	NPF1	EPS15	EH2	1:01
ARPC5L	interface_to_arpc1a	ARPC1A	interface_to_arpc5l	1:01
AP2B1	beta_to_alpha_interface	AP2A2	alpha_to_beta_interface	1:01
AP2B1	beta_to_alpha_interface	AP2A1	alpha_to_beta_interface	1:01
AP2M1	M2MUH	NECAP1	PHear	1:01
AP2S1	sigma_to_alpha_interface	AP2A2	alpha_to_sigma_interface	1:01
AP2S1	sigma_to_alpha_interface	AP2A1	alpha_to_sigma_interface	1:01
CLTC	TD_CBOX	HIP1R	CLAT	1:01
DYRK1A	Kinase_ST	DYRK1A	Phospho_Site	1:01
