Pro1	Interface1	Pro2	Interface2	Stoichiometry
ARP2	side_front_to_acidic_domain	PAN1	acidic_domain	1:1
ARP3	side_front_to_acidic_domain	CRN1	acidic_domain	1:1
ARP3	side_front_to_acidic_domain	MYO3	acidic_domain	1:1
ARP3	side_front_to_acidic_domain	MYO5	acidic_domain	1:1
ARP3	side_front_to_acidic_domain	PAN1	acidic_domain	1:1
ARP3	barbed_end_groove_to_Chelix	CRN1	C_helix	1:1
BBC1	SH3_domain	BBC1	PRD_700to730	1:1
BBC1	SH3_domain	LAS17	PRD_347to359	1:1
BBC1	SH3_domain	LAS17	PRD_383to400	1:1
BBC1	PRD_700to730	MYO3	SH3_domain	1:1
BBC1	PRD_700to730	MYO5	SH3_domain	1:1
BSP1	PRD_183to197	LSB3	SH3_domain	1:1
BSP1	PRD_183to197	YSC84	SH3_domain	1:1
BSP1	interface_to_INP52_notPRD	INP52	N_terminal_region	1:1
BZZ1	SH3_domain	MYO5	PRD_1070to1084	1:1
BZZ1	SH3_domain	VRP1	PRD_3to18	1:1
CAP1	dimer_interface_to_CAP2	CAP2	dimer_interface_to_CAP1	1:1
CAP1	speculated_interface_to_TWF1	TWF1	speculated_interface_to_CAP1	1:1
CAP2	speculated_interface_to_TWF1	TWF1	speculated_interface_to_CAP2	1:1
CHC1	self_binding_to_trimers	CHC1	self_binding_to_trimers	1:1
CHC1	N_terminal_domain	ENT1	Clathrin_Box	1:1
CHC1	N_terminal_domain	ENT2	Clathrin_Box	1:1
CHC1	N_terminal_domain	YAP1802	Clathrin_Box	1:1
CHC1	interface_to_light_chain	CLC1	interface_to_heavy_chain	1:1
CLC1	interface_to_SLA2	SLA2	interface_to_CLC1	1:1
CRN1	coiled_coil_domain	ACT1	Subunit1_2_outsideFilament	1:1
CRN1	coiled_coil_domain	CRN1	coiled_coil_domain	1:1
CRN1	beta_propeller_domain	ACT1	Subunit4_outsideFilament	1:1
CRN1	acidic_domain	ARP2	side_front_to_acidic_domain	1:1
CRN1	C_helix	ARP2	barbed_end_groove_to_Chelix	1:1
EDE1	EH_domain	ENT1	Two_NPF_motifs	1:1
EDE1	EH_domain	ENT2	Two_NPF_motifs	1:1
EDE1	speculated_to_PAL1	PAL1	speculated_interface_to_EDE1	1:1
EDE1	coiled_coil_domain	EDE1	coiled_coil_domain	1:1
END3	C_terminal_region	PAN1	long_repeat_2	1:1
ENT1	Two_NPF_motifs	PAN1	EH_domain_2	1:1
ENT2	Two_phospho_site	PRK1	kinase_domain	1:1
GTS1	PRD_245to266	YSC84	SH3_domain	1:1
GTS1	speculated_interface_to_YAP1801	YAP1802	speculated_to_GTS1	1:1
LAS17	C_helix	ARP3	barbed_end_groove_to_Chelix	1:1
LAS17	acidic_domain	ARP3	side_front_to_acidic_domain	1:1
LAS17	PRD_347to359	BZZ1	SH3_domain	1:1
LAS17	PRD_347to359	LSB3	SH3_domain	1:1
LAS17	PRD_347to359	MYO3	SH3_domain	1:1
LAS17	PRD_347to359	MYO5	SH3_domain	1:1
LAS17	PRD_347to359	RVS167	SH3_domain	1:1
LAS17	PRD_383to400	LSB3	SH3_domain	1:1
LAS17	PRD_180to195	BZZ1	SH3_domain	1:1
LAS17	PRD_310to330	LSB3	SH3_domain	1:1
LAS17	PRD_310to330	RVS167	SH3_domain	1:1
LAS17	PRD_211to225	MYO3	SH3_domain	1:1
LAS17	PRD_211to225	MYO5	SH3_domain	1:1
LSB3	dimerization_interface	LSB3	dimerization_interface	1:1
LSB3	SH3_domain	GTS1	PRD_245to266	1:1
LSB5	VHS_domain	LAS17	PRD_383to400	1:1
MYO3	SH3_domain	PAN1	PRD_1469to1480	1:1
MYO5	SH3_domain	MYO5	PRD_1070to1084	1:1
MYO5	SH3_domain	VRP1	PRD_398to407	1:1
MYO5	PRD_1070to1084	MYO3	SH3_domain	1:1
PAN1	EH_domain_2	ENT2	Two_NPF_motifs	1:1
PAN1	EH_domain_2	YAP1801	Five_NPF_motifs	1:1
PAN1	phospho_site_LR2	PRK1	kinase_domain	1:1
PAN1	coiled_coil_domain	PAN1	N_terminal_LR1	1:1
PAN1	PRD_1469to1480	MYO5	SH3_domain	1:1
PRK1	kinase_domain	ENT1	phospho_site	1:1
PRK1	kinase_domain	LAS17	phospho_site	1:1
PRK1	kinase_domain	YAP1801	phospho_site	1:1
RVS167	SH3_domain	BSP1	PRD_183to197	1:1
RVS167	SH3_domain	BSP1	PRD_231to245	1:1
RVS167	SH3_domain	GTS1	PRD_245to266	1:1
RVS167	SH3_domain	VRP1	PRD_513to527	1:1
RVS167	dimerization_interface_	RVS161	dimerization_interface_	1:1
RVS167	oligomerization_domain_	RVS167	oligomerization_domain_	1:1
SCD5	residue302-500	END3	N_terminal_domain	1:1
SCD5	residue302-500	PAN1	long_repeat_2	1:1
SCD5	phospho_site	PRK1	kinase_domain	1:1
SLA1	Clathrin_Box	CHC1	N_terminal_domain	1:1
SLA1	Clathrin_Box	SLA1	SHD2_domain	1:1
SLA1	PRD_191to205	LSB3	SH3_domain	1:1
SLA1	PRD_191to205	RVS167	SH3_domain	1:1
SLA1	PRD_191to205	YSC84	SH3_domain	1:1
SLA1	C_terminal_repeat_toEND3	END3	N_terminal_domain	1:1
SLA1	SHD1_domain	LSB5	NPF_motif_region	1:1
SLA1	SH3_domains1-2	APP1	PRD_502to518	1:1
SLA1	SH3_domains1-2	BSP1	PRD_183to197	1:1
SLA1	SH3_domains1-2	INP52	PRD_983to997	1:1
SLA1	SH3_domains1-2	LAS17	PRD_347to359	1:1
SLA1	SH3_domains1-2	SYP1	PRD_519to533	1:1
SLA1	C_terminal_repeat_toPAN1	PAN1	N_terminal_LR1	1:1
SLA1	phospho_site	PRK1	kinase_domain	1:1
SLA1	SH3_domain_3	APP1	PRD_502to518	1:1
SLA1	SH3_domain_3	LAS17	PRD_347to359	1:1
SLA1	SHD2_domain	SLA1	SHD2_domain	1:1
SLA1	Gap1_domain	SLA2	coiled_coil_domain	1:1
SLA2	coiled_coil_domain	PAN1	coiled_coil_domain	1:1
SLA2	phospho_site	ARK1	kinase_domain	1:1
SLA2	phospho_site	PRK1	kinase_domain	1:1
SLA2	homodimer_interface_CC	SLA2	homodimer_interface_CC	1:1
SYP1	interface_to_LAS17	LAS17	speculated_to_SYP1	1:1
SYP1	PRD_413to427	LSB3	SH3_domain	1:1
SYP1	C_terminal_muHD	EDE1	C_terminal_domain	1:1
SYP1	BAR_domain	SYP1	BAR_domain	1:1
VRP1	PRD_3to18	SLA1	SH3_domains1-2	1:1
VRP1	C_terminal_region	LAS17	WH1_domain	1:1
VRP1	PRD_398to407	MYO3	SH3_domain	1:1
YAP1801	speculated_to_GTS1	GTS1	speculated_interface_to_YAP1801	1:1
YAP1801	Clathrin_Box	CHC1	N_terminal_domain	1:1
YAP1802	Five_NPF_motifs	EDE1	EH_domain	1:1
YAP1802	Five_NPF_motifs	PAN1	EH_domain_2	1:1
YAP1802	phospho_site	ARK1	kinase_domain	1:1
YAP1802	phospho_site	PRK1	kinase_domain	1:1
YAP1802	coiled_coil_domain	END3	C_terminal_region	1:1
YSC84	dimerization_interface	LSB3	dimerization_interface	1:1
YSC84	dimerization_interface	YSC84	dimerization_interface	1:1
YSC84	SH3_domain	LAS17	PRD_347to359	1:1
YSC84	SH3_domain	LAS17	PRD_383to400	1:1
YSC84	SH3_domain	LAS17	PRD_310to330	1:1
